License Issue Date,Animal's Name,License Number,Primary Breed,Secondary Breed,Species,ZIP Code
2018-03-10,Mulder,104297,Domestic Shorthair,Mix,Cat,98144
2018-03-10,Scully,104298,Domestic Shorthair,Mix,Cat,98144
2018-03-10,Phoebe,128111,Siamese,Desert Lynx,Cat,98125
2018-03-10,Mitchell,140093,Domestic Shorthair,Mix,Cat,98121
2018-03-10,Grendel,110035,Chow Chow,"Retriever, Labrador",Dog,
2018-03-10,Bugs,128110,"Spaniel, American Cocker",,Dog,98125
2018-03-10,Eddie,140091,Beagle,,Dog,98108
2018-03-10,Osbert,140092,Maltese,Mix,Dog,98122
2018-03-10,Carly Rose,84139,"Retriever, Labrador",,Dog,98117
2018-03-10,Cricket,112062,"Poodle, Miniature","Spaniel, American Cocker",Dog,98126
2018-03-10,Caledonia,102232,Bernese Mountain Dog,,Dog,98116
2018-03-10,Ziggie,15970,Miniature Pinscher,,Dog,98106
2018-03-10,Nala,902201,Kai Ken,,Dog,98103
2018-03-09,Smithy,85237,Domestic Shorthair,,Cat,98144
2018-03-09,Wes,29170,Domestic Shorthair,,Cat,98144
2018-03-09,Cowboy,74342,Domestic Shorthair,,Cat,98103
2018-03-09,Pickles,74348,Domestic Shorthair,,Cat,98103
2018-03-09,Ghost,964212,Domestic Shorthair,,Cat,98125
2018-03-09,Patinkin,964218,Domestic Shorthair,,Cat,98125
2018-03-09,Fizz,107907,Domestic Longhair,,Cat,98133
2018-03-09,Din Din,140918,Australian Shepherd,,Dog,98119
2018-03-09,Diego,140917,Maltese,"Poodle, Miniature",Dog,98119
2018-03-09,Pad Thai,140697,Alaskan Klee Kai,,Dog,98102
2018-03-09,Marley,140916,"Terrier, Soft Coated Wheaten","Poodle, Standard",Dog,
2018-03-09,Nordic IV,,"Retriever, Golden","Retriever, Labrador",Dog,98122
2018-03-09,Leo,,"Retriever, Labrador",Great Dane,Dog,98107
2018-03-09,Kooper,,Mix,,Dog,98106
2018-03-09,Cole,84006,Coonhound,Mix,Dog,98117
2018-03-09,Dee Dee,71472,Boxer,,Dog,98146
2018-03-09,Hoover,140698,"Terrier, Airedale",Mix,Dog,98199
2018-03-09,Kathy,140699,Miniature Pinscher,"Terrier, Manchester",Dog,98101
2018-03-09,Ella,110448,"Poodle, Miniature",,Dog,98118
2018-03-09,Dune,,Rhodesian Ridgeback,,Dog,98199
2018-03-09,Peyton,,Beagle,Boxer,Dog,98117
2018-03-09,Lucy,111355,Beagle,Boxer,Dog,98118
2018-03-09,Nelly,,"Retriever, Labrador",,Dog,98199
2018-03-09,Wombat,100477,"Terrier, Staffordshire Bull",,Dog,98126
2018-03-09,Ruby Rose,,"Terrier, English Staffordshire",,Dog,98126
2018-03-09,Sophie,,Chow Chow,"Retriever, Labrador",Dog,98109
2018-03-09,Zoe,,German Shepherd,,Dog,98105
2018-03-09,Chloe,,Havanese,,Dog,98133
2018-03-08,Henri,77719,Domestic Shorthair,,Cat,98117
2018-03-08,Rusty,74155,Domestic Shorthair,,Cat,98115
2018-03-08,Alley Kat,107891,American Shorthair,Mix,Cat,98103
2018-03-08,Aubrie,28133,Domestic Shorthair,,Cat,98125
2018-03-08,Samantha,140694,Domestic Shorthair,Mix,Cat,98103
2018-03-08,Coco,72440,Domestic Shorthair,,Cat,98105
2018-03-08,Tazo,140236,Domestic Shorthair,,Cat,98136
2018-03-08,Scrambles,102750,American Shorthair,,Cat,98199
2018-03-08,Boris,,Domestic Shorthair,,Cat,98125
2018-03-08,Nova,,Domestic Shorthair,,Cat,98125
2018-03-08,Moshi,,Domestic Shorthair,,Cat,98115
2018-03-08,Choco,64069,LaPerm,,Cat,98125
